conf,iou,P,R,F1,mAP50
0.1,0.5,0.9898914110900207,0.9914993174128613,0.9906947118403073,0.9924698795180723
0.15,0.5,0.9898914110900207,0.9914993174128613,0.9906947118403073,0.9924698795180723
0.2,0.5,0.9898914110900207,0.9914993174128613,0.9906947118403073,0.9924698795180723
0.25,0.5,0.9898914110900207,0.9914993174128613,0.9906947118403073,0.9924698795180723
0.3,0.5,0.9898914110900207,0.9914993174128613,0.9906947118403073,0.9924698795180723
0.35,0.5,0.9867898913951546,0.996031746031746,0.9913892807507028,0.9924698795180723
0.4,0.5,0.9936980503724189,0.9924571870861668,0.9930772311106247,0.9899698795180724
0.45,0.5,0.9936984781230184,0.9900076496462038,0.9918496303581793,0.9874698795180723
0.5,0.5,0.9964082643306917,0.986473287437281,0.9914158869122309,0.985
0.55,0.5,0.9964082643306917,0.986473287437281,0.9914158869122309,0.985
0.6,0.5,0.9969512195121951,0.986958869158399,0.991929880123934,0.985
0.1,0.6,0.9949318389583288,0.9864415429480012,0.9906685002559947,0.9924698795180723
0.15,0.6,0.9949318389583288,0.9864415429480012,0.9906685002559947,0.9924698795180723
0.2,0.6,0.9949318389583288,0.9864415429480012,0.9906685002559947,0.9924698795180723
0.25,0.6,0.9949318389583288,0.9864415429480012,0.9906685002559947,0.9924698795180723
0.3,0.6,0.9949318389583288,0.9864415429480012,0.9906685002559947,0.9924698795180723
0.35,0.6,0.9949318389583288,0.9864415429480012,0.9906685002559947,0.9924698795180723
0.4,0.6,0.9936980503724189,0.9924571870861668,0.9930772311106247,0.9899698795180724
0.45,0.6,0.9936984781230184,0.9900076496462038,0.9918496303581793,0.9874698795180723
0.5,0.6,0.9964082643306917,0.986473287437281,0.9914158869122309,0.985
0.55,0.6,0.9964082643306917,0.986473287437281,0.9914158869122309,0.985
0.6,0.6,0.9969512195121951,0.986958869158399,0.991929880123934,0.985
0.1,0.7,0.9907102254095859,0.9856161862267263,0.9881566408005953,0.9924404761904763
0.15,0.7,0.9907102254095859,0.9856161862267263,0.9881566408005953,0.9924404761904763
0.2,0.7,0.9907102254095859,0.9856161862267263,0.9881566408005953,0.9924404761904763
0.25,0.7,0.9907102254095859,0.9856161862267263,0.9881566408005953,0.9924404761904763
0.3,0.7,0.9907102254095859,0.9856161862267263,0.9881566408005953,0.9924404761904763
0.35,0.7,0.9907102254095859,0.9856161862267263,0.9881566408005953,0.9924404761904763
0.4,0.7,0.9916793310204346,0.9858383976516849,0.9887502382433265,0.9899404761904762
0.45,0.7,0.9917769784400454,0.9857749086731253,0.9887668351125234,0.9874404761904763
0.5,0.7,0.9917769784400454,0.9857749086731253,0.9887668351125234,0.985
0.55,0.7,0.9917769784400454,0.9857749086731253,0.9887668351125234,0.985
0.6,0.7,0.991770209641408,0.9862510760123224,0.9890029430017329,0.985
