conf,iou,P,R,F1,mAP50
0.1,0.5,0.9950740620991269,0.9947758762297767,0.9949249468223619,0.9924698795180723
0.15,0.5,0.9950740620991269,0.9947758762297767,0.9949249468223619,0.9924698795180723
0.2,0.5,0.9950740620991269,0.9947758762297767,0.9949249468223619,0.9924698795180723
0.25,0.5,0.9954812189059501,0.9925988105961954,0.9940379252281307,0.9899698795180724
0.3,0.5,0.995408515342149,0.9926851376731796,0.9940449612067221,0.9899698795180724
0.35,0.5,0.9969879518072289,0.9930196978389749,0.9949998682957089,0.9899698795180724
0.4,0.5,0.9969879518072289,0.9930196978389749,0.9949998682957089,0.9899698795180724
0.45,0.5,0.9969879518072289,0.9930196978389749,0.9949998682957089,0.9899698795180724
0.5,0.5,0.9969879518072289,0.9900076496462038,0.9934855398494845,0.9874698795180723
0.55,0.5,0.9969879518072289,0.9900076496462038,0.9934855398494845,0.9874698795180723
0.6,0.5,0.9969879518072289,0.9866743163128705,0.9918043222688442,0.9849698795180722
0.1,0.6,0.9950872845820504,0.9946637292930691,0.9948754618567729,0.9924698795180723
0.15,0.6,0.9950872845820504,0.9946637292930691,0.9948754618567729,0.9924698795180723
0.2,0.6,0.9950872845820504,0.9946637292930691,0.9948754618567729,0.9924698795180723
0.25,0.6,0.9954147118211907,0.9923302374678,0.9938700814848397,0.9899698795180724
0.3,0.6,0.9954147118211907,0.9923302374678,0.9938700814848397,0.9899698795180724
0.35,0.6,0.9969879518072289,0.9930196978389749,0.9949998682957089,0.9899698795180724
0.4,0.6,0.9969879518072289,0.9930196978389749,0.9949998682957089,0.9899698795180724
0.45,0.6,0.9969879518072289,0.9930196978389749,0.9949998682957089,0.9899698795180724
0.5,0.6,0.9969879518072289,0.9900076496462038,0.9934855398494845,0.9874698795180723
0.55,0.6,0.9969879518072289,0.9900076496462038,0.9934855398494845,0.9874698795180723
0.6,0.6,0.9969879518072289,0.9866743163128705,0.9918043222688442,0.9849698795180722
0.1,0.7,0.9957677304226267,0.9941190156004899,0.9949426899926453,0.9924698795180723
0.15,0.7,0.9957677304226267,0.9941190156004899,0.9949426899926453,0.9924698795180723
0.2,0.7,0.9957677304226267,0.9941190156004899,0.9949426899926453,0.9924698795180723
0.25,0.7,0.9959335966362682,0.9918735006596068,0.9938994022749413,0.9899698795180724
0.3,0.7,0.9959335966362682,0.9918735006596068,0.9938994022749413,0.9899698795180724
0.35,0.7,0.9967725551993594,0.9921767671087169,0.9944693514993533,0.9899698795180724
0.4,0.7,0.9967725551993594,0.9921767671087169,0.9944693514993533,0.9899698795180724
0.45,0.7,0.9967725551993594,0.9921767671087169,0.9944693514993533,0.9899698795180724
0.5,0.7,0.9969879518072289,0.9900076496462038,0.9934855398494845,0.9874698795180723
0.55,0.7,0.9969879518072289,0.9900076496462038,0.9934855398494845,0.9874698795180723
0.6,0.7,0.9969879518072289,0.9866743163128705,0.9918043222688442,0.9849698795180722
