epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1133.31,0.69826,0.87917,1.13296,0.12856,0.98483,0.98748,0.99388,0.8795,0.55295,0.67476,1.08876,0.1179,0.00922942,0.00922942,0.00922942
38,1138.63,0.69838,0.89052,1.0984,0.13153,0.98168,0.99745,0.99409,0.86619,0.57072,0.66178,1.09239,0.09999,0.00918725,0.00918725,0.00918725
39,1273.57,0.68987,0.86732,1.09204,0.12524,0.98423,0.99357,0.99371,0.87893,0.53853,0.63635,1.06319,0.10324,0.00914405,0.00914405,0.00914405
40,1296.29,0.70271,0.8844,1.10505,0.12669,0.98619,0.99283,0.99466,0.88914,0.53384,0.62137,1.064,0.11133,0.00909984,0.00909984,0.00909984
41,1487.3,0.66536,0.81166,1.09624,0.11545,0.99547,0.99638,0.9948,0.88889,0.53516,0.61628,1.07051,0.10033,0.00905463,0.00905463,0.00905463
42,1540.42,0.67694,0.87333,1.09458,0.1186,0.99139,0.99018,0.9942,0.88989,0.52974,0.62715,1.0678,0.10598,0.00900844,0.00900844,0.00900844
43,1550.26,0.70117,0.88506,1.08638,0.12882,0.98515,0.99104,0.99395,0.87578,0.55766,0.64102,1.07917,0.10706,0.00896127,0.00896127,0.00896127
44,1595.6,0.6899,0.85495,1.10523,0.12429,0.99562,0.989,0.99484,0.88044,0.54349,0.63984,1.06709,0.10483,0.00891313,0.00891313,0.00891313
45,1601.65,0.66764,0.82444,1.1115,0.11712,0.99336,0.99527,0.99466,0.88556,0.53773,0.61911,1.06462,0.0989,0.00886404,0.00886404,0.00886404
46,1610.86,0.68351,0.86688,1.10018,0.12097,0.99401,0.99474,0.9949,0.88674,0.5289,0.61834,1.07181,0.1046,0.00881401,0.00881401,0.00881401
47,1646.15,0.66661,0.83342,1.10228,0.11703,0.99294,0.99952,0.995,0.89703,0.50691,0.60998,1.05795,0.09778,0.00876305,0.00876305,0.00876305
48,1681.32,0.68837,0.87127,1.0825,0.12545,0.99291,0.99095,0.99477,0.88873,0.52571,0.62157,1.07655,0.1006,0.00871117,0.00871117,0.00871117
49,1688.83,0.66355,0.81997,1.09511,0.11674,0.99537,0.98949,0.99488,0.88844,0.52766,0.61408,1.07002,0.09971,0.00865839,0.00865839,0.00865839
50,1723.92,0.66687,0.83002,1.0841,0.11786,0.99344,0.99508,0.99467,0.883,0.5474,0.62539,1.07913,0.09404,0.00860473,0.00860473,0.00860473
51,1738.62,0.67447,0.84857,1.08787,0.11561,0.99333,0.99693,0.99493,0.89181,0.50828,0.60532,1.05897,0.09805,0.00855018,0.00855018,0.00855018
52,1821.61,0.66266,0.82117,1.0865,0.11998,0.98116,0.99562,0.99436,0.88494,0.52504,0.63057,1.07857,0.09818,0.00849477,0.00849477,0.00849477
53,1838.21,0.67049,0.83085,1.08121,0.12072,0.9918,0.9862,0.9947,0.89691,0.49683,0.60772,1.04645,0.09609,0.00843851,0.00843851,0.00843851
