epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,138.195,0.73628,0.49711,1.12953,0.13469,0.98331,0.97079,0.9941,0.85825,0.59215,0.39479,1.08271,0.13181,0.00922942,0.00922942,0.00922942
38,141.511,0.7327,0.49426,1.09576,0.1417,0.98686,0.98507,0.99269,0.86459,0.56624,0.36616,1.07428,0.10529,0.00918725,0.00918725,0.00918725
39,145.07,0.72394,0.48178,1.09575,0.13668,0.99126,0.98877,0.99365,0.86963,0.57856,0.35528,1.05958,0.10971,0.00914405,0.00914405,0.00914405
40,148.75,0.7419,0.48752,1.11176,0.13716,0.99132,0.98452,0.9909,0.8717,0.56266,0.35378,1.06174,0.11006,0.00909984,0.00909984,0.00909984
41,152.652,0.70055,0.45206,1.09981,0.12939,0.98318,0.97806,0.99124,0.86884,0.57976,0.36436,1.10231,0.12621,0.00905463,0.00905463,0.00905463
42,156.328,0.71807,0.49331,1.09631,0.13161,0.98017,0.98648,0.99229,0.87339,0.55166,0.3656,1.08463,0.12255,0.00900844,0.00900844,0.00900844
43,159.745,0.73975,0.49828,1.08803,0.13707,0.98584,0.98696,0.99394,0.86306,0.57751,0.36706,1.07539,0.11073,0.00896127,0.00896127,0.00896127
44,163.596,0.7317,0.47907,1.10549,0.13832,0.981,0.98681,0.99315,0.86928,0.55653,0.36388,1.06379,0.10363,0.00891313,0.00891313,0.00891313
45,167.378,0.70249,0.4576,1.11033,0.1296,0.98414,0.98437,0.99233,0.88264,0.5408,0.36041,1.05111,0.10727,0.00886404,0.00886404,0.00886404
46,170.838,0.72065,0.47642,1.10067,0.13223,0.98949,0.9926,0.99385,0.87441,0.54396,0.35132,1.06544,0.11382,0.00881401,0.00881401,0.00881401
47,174.72,0.70032,0.4622,1.10004,0.1288,0.98986,0.99302,0.99455,0.88634,0.52923,0.3323,1.06328,0.11516,0.00876305,0.00876305,0.00876305
48,177.995,0.72703,0.49181,1.08222,0.13895,0.98816,0.97274,0.99336,0.87502,0.53435,0.34866,1.04782,0.10667,0.00871117,0.00871117,0.00871117
49,182.091,0.69754,0.46176,1.09426,0.12429,0.98422,0.99064,0.99376,0.87781,0.54194,0.33758,1.04388,0.10243,0.00865839,0.00865839,0.00865839
50,185.941,0.70811,0.47132,1.0901,0.12952,0.98062,0.98151,0.99362,0.87408,0.55972,0.35868,1.06408,0.10312,0.00860473,0.00860473,0.00860473
51,189.968,0.71294,0.47545,1.09453,0.12905,0.99693,0.97494,0.99414,0.88022,0.54833,0.3529,1.07205,0.1065,0.00855018,0.00855018,0.00855018
52,193.856,0.70312,0.46063,1.09304,0.13161,0.97536,0.96181,0.98875,0.873,0.56132,0.38355,1.06132,0.10134,0.00849477,0.00849477,0.00849477
53,197.444,0.70729,0.4655,1.07945,0.13325,0.9887,0.97604,0.99397,0.89201,0.51408,0.34139,1.05692,0.1011,0.00843851,0.00843851,0.00843851
54,201.856,0.70104,0.45135,1.09346,0.12679,0.99371,0.98875,0.99459,0.87945,0.55317,0.33679,1.05101,0.09503,0.00838141,0.00838141,0.00838141
55,205.521,0.70443,0.46315,1.08615,0.1296,0.99092,0.99119,0.99459,0.88147,0.5237,0.33621,1.04298,0.09679,0.00832349,0.00832349,0.00832349
56,209.392,0.70449,0.45339,1.07341,0.12388,0.99054,0.99164,0.99417,0.88774,0.51721,0.33274,1.03537,0.08891,0.00826477,0.00826477,0.00826477
57,213.212,0.70906,0.46811,1.08582,0.13375,0.98713,0.98147,0.99327,0.87986,0.5412,0.34764,1.04253,0.09926,0.00820525,0.00820525,0.00820525
58,216.451,0.72615,0.48799,1.07899,0.13908,0.98575,0.98562,0.99414,0.8824,0.53637,0.33312,1.05601,0.09605,0.00814495,0.00814495,0.00814495
59,220.424,0.69868,0.44736,1.07652,0.12377,0.99128,0.98282,0.99206,0.87869,0.5338,0.33068,1.05534,0.10107,0.00808389,0.00808389,0.00808389
60,224.5,0.68016,0.43436,1.10241,0.12385,0.99229,0.96732,0.99144,0.88217,0.51694,0.34363,1.03399,0.09525,0.00802208,0.00802208,0.00802208
61,228.163,0.68532,0.4509,1.08138,0.12004,0.98703,0.98517,0.99311,0.887,0.51972,0.33292,1.04182,0.09956,0.00795954,0.00795954,0.00795954
62,231.851,0.70437,0.46644,1.07386,0.12822,0.9885,0.97621,0.99338,0.87638,0.55251,0.35028,1.04932,0.09632,0.00789628,0.00789628,0.00789628
63,235.806,0.67131,0.43655,1.07505,0.1195,0.9913,0.98493,0.99411,0.88363,0.5234,0.32919,1.04125,0.09953,0.00783231,0.00783231,0.00783231
64,239.001,0.7199,0.46446,1.06914,0.13124,0.99137,0.98541,0.99428,0.88761,0.51565,0.33405,1.04085,0.1005,0.00776766,0.00776766,0.00776766
65,242.56,0.68267,0.43783,1.0798,0.12603,0.99305,0.98845,0.9941,0.87306,0.5425,0.32978,1.05185,0.09244,0.00770234,0.00770234,0.00770234
66,246.061,0.69027,0.43801,1.06833,0.12845,0.99211,0.97778,0.99339,0.88347,0.53026,0.33332,1.05594,0.09462,0.00763637,0.00763637,0.00763637
67,249.479,0.68637,0.44436,1.06664,0.12774,0.98753,0.98463,0.99445,0.89198,0.50577,0.3318,1.04714,0.09227,0.00756976,0.00756976,0.00756976
68,253.268,0.69042,0.44805,1.08458,0.12382,0.99293,0.99492,0.99453,0.89101,0.51108,0.31565,1.06321,0.10365,0.00750252,0.00750252,0.00750252
69,256.996,0.68277,0.43989,1.07757,0.1223,0.99567,0.99557,0.9945,0.89026,0.51011,0.31374,1.05955,0.09245,0.00743468,0.00743468,0.00743468
70,261.486,0.6813,0.43448,1.09249,0.11819,0.98472,0.99329,0.99398,0.87986,0.54119,0.33302,1.05126,0.09074,0.00736625,0.00736625,0.00736625
71,264.938,0.70163,0.45673,1.06867,0.12687,0.98284,0.98782,0.99332,0.88121,0.54014,0.33311,1.04194,0.09265,0.00729725,0.00729725,0.00729725
72,269.185,0.68065,0.44658,1.08667,0.1212,0.9822,0.98584,0.99385,0.8894,0.50929,0.32898,1.04514,0.093,0.0072277,0.0072277,0.0072277
73,273.068,0.67729,0.43138,1.08598,0.12217,0.99185,0.99487,0.99444,0.8859,0.5261,0.3047,1.05371,0.09687,0.00715761,0.00715761,0.00715761
74,276.663,0.67421,0.42644,1.06491,0.11741,0.99296,0.99603,0.99453,0.88793,0.52225,0.31219,1.06688,0.10565,0.007087,0.007087,0.007087
75,280.237,0.6699,0.43308,1.06993,0.12533,0.99002,0.98752,0.99345,0.88699,0.50757,0.31608,1.04243,0.09918,0.00701588,0.00701588,0.00701588
76,283.856,0.68934,0.44825,1.06441,0.12613,0.99218,0.99383,0.99458,0.89,0.51051,0.30666,1.04641,0.0985,0.00694428,0.00694428,0.00694428
77,287.708,0.64472,0.40802,1.08303,0.11535,0.99418,0.99189,0.99487,0.88731,0.50666,0.31334,1.05421,0.0898,0.00687222,0.00687222,0.00687222
78,291.279,0.66552,0.4259,1.06084,0.11778,0.98986,0.99393,0.99359,0.88109,0.53948,0.3278,1.07904,0.09987,0.0067997,0.0067997,0.0067997
79,294.715,0.69392,0.4491,1.06549,0.12367,0.99361,0.9796,0.99217,0.87839,0.54439,0.32938,1.06609,0.09679,0.00672675,0.00672675,0.00672675
80,298.597,0.68915,0.45111,1.06066,0.12538,0.98462,0.98686,0.99493,0.887,0.52464,0.3224,1.07061,0.09917,0.00665339,0.00665339,0.00665339
81,302.901,0.6802,0.43999,1.08253,0.1167,0.98703,0.98562,0.9939,0.88692,0.52195,0.3339,1.05125,0.08929,0.00657963,0.00657963,0.00657963
82,306.853,0.67937,0.42987,1.06741,0.12314,0.98743,0.99512,0.99315,0.8844,0.52453,0.32341,1.06696,0.10012,0.0065055,0.0065055,0.0065055
83,310.805,0.68393,0.4385,1.09005,0.1279,0.98689,0.99411,0.99328,0.88975,0.5036,0.31422,1.04872,0.09318,0.00643101,0.00643101,0.00643101
